_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
90681,NONE,,YES,YES,YES,YES,NO,Not Available,12.0,46.0,"JUL 9, 2017",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,NEXT TO BLVD AND DRIVEWAY,ORIGINAL,1967.0,ELECTRIC,YES,YES,NO,YES,YES,24 X 7,BASEMENT,YES,0.0,55.0,1.0,6.0,YES,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4P,NOT TO CAUSE NOISE DISTURBANCE,YES,,PRIVATE,NEXT TO BLVD AND DRIVEWAY,4153834.0,NO,NO,NO,241  REDPATH AVE ,YES,YES,1967.0,YES,FREE,15,DOUBLE PANE,1967.0,,2017.0,,,,,,,,
90682,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,32.0,,,,,,,,NO,Recycling bins,YES,NO,,ORIGINAL,1970.0,HOT WATER,NO,YES,NO,NO,YES,8 TIL 9,BASEMENT,YES,0.0,0.0,0.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M3H,,YES,CASTLEHILL PROPERTY MANAGEMENT,PRIVATE,FRONT OF BUILDING,4154574.0,NO,NO,NO,408-414  WILSON AVE ,YES,YES,2015.0,,UNAVAILABLE,6,DOUBLE PANE,1950.0,,2017.0,,,,,,,,
90683,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,11.0,,,,,,,,YES,Green Bin / Organics,YES,YES,NORTH SIDE OF BUILDING,REPLACED,1999.0,HOT WATER,NO,NO,NO,NO,YES,8:00 AM TO 11:00 PM,GROUND FLOOR,NO,0.0,0.0,0.0,2.0,NO,YES,"Ground Level Garage , Surface Parking",M3H,,YES,MANTLER MANAGEMENT LTD.,PRIVATE,NORTH SIDE OF BUILDING,4154584.0,NO,YES,NO,11  ROSSEAU RD ,NO,,,,UNAVAILABLE,6,SINGLE PANE,1956.0,,2017.0,,,,,,,,
90684,INDIVIDUAL UNITS,,YES,YES,YES,YES,YES,8 indoor parking spots and 0 outdoor parking spots,9.0,90.0,"MAR 23, 2017",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE,REPLACED,2011.0,HOT WATER,NO,YES,YES,YES,YES,24HRS,BASEMENT LEVEL,YES,0.0,0.0,2.0,10.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M6E,LEASHED,YES,,PRIVATE,OUTSIDE,4155067.0,NO,YES,NO,65  DYNEVOR RD ,YES,YES,2011.0,YES,FREE,9,DOUBLE PANE,1967.0,2017.0,2017.0,,,,,,,,
90685,NONE,,YES,NO,YES,YES,NO,Not Available,4.0,18.0,,,,,,,,NO,Green Bin / Organics,YES,NO,ON PARKING LOT,REPLACED,1980.0,HOT WATER,NO,YES,NO,NO,YES,8 AM TO 10 PM,BASEMENT,NO,0.0,12.0,0.0,3.0,NO,YES,Surface Parking,M6E,,YES,,PRIVATE,ON PARKING LOT,4155068.0,NO,NO,NO,2208  DUFFERIN ST ,NO,,,,UNAVAILABLE,9,DOUBLE PANE,1959.0,,2017.0,,,,,,,,
90686,NONE,,NO,YES,YES,YES,NO,Not Available,4.0,23.0,,,,,,,YES,YES,Green Bin / Organics,YES,NO,ON THE BACK OF THE BLDG,ORIGINAL,1995.0,HOT WATER,NO,YES,NO,YES,YES,24 HRS,IN BASEMENT,YES,0.0,0.0,0.0,6.0,NO,YES,Ground Level Garage,M6M,,NO,S & T INC,PRIVATE,THE BACK OF THE BLDG,4155083.0,NO,NO,NO,7  NASHVILLE AVE ,NO,,,,UNAVAILABLE,5,DOUBLE PANE,1965.0,,2017.0,,,,,,,,
90687,NONE,,YES,YES,YES,YES,YES,Not Available,3.0,54.0,,,,,,,,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1964.0,HOT WATER,NO,YES,NO,NO,YES,7:00 AM- 10:00 PM ,BASEMENT,NO,2.0,0.0,0.0,8.0,YES,YES,Surface Parking,M6G,,NO,TCH,TCHC,BACK OF BUILDING,4155593.0,NO,NO,NO,177  PENDRITH ST ,YES,YES,1964.0,,PAID,11,DOUBLE PANE,1964.0,,2017.0,,,,,,,,
90688,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,27.0,469.0,"JUN 26, 2017",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,REAR OF BUILDING,ORIGINAL,1972.0,HOT WATER,YES,YES,NO,YES,YES,7:00AM TO 10:00PM,TBD,YES,1.0,4.0,4.0,16.0,YES,YES,Surface Parking,M5A,,YES,,TCHC,REAR OF BUILDING,4155602.0,NO,NO,NO,220  OAK ST ,YES,YES,1972.0,YES,BOTH,13,DOUBLE PANE,1972.0,2016.0,2017.0,,,,,,,,
90689,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,34.0,,,,,,,,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1970.0,HOT WATER,NO,YES,NO,NO,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,0.0,1.0,0.0,2.0,YES,YES,Surface Parking,M4J,,NO,TCH,TCHC,BACK OF BUILDING,4155609.0,NO,NO,NO,2  PHIN AVE ,YES,YES,1970.0,,PAID,14,DOUBLE PANE,1970.0,,2017.0,,,,,,,,
90690,NONE,,YES,YES,YES,YES,NO,Not Available,3.0,11.0,,,,,,,,NO,Recycling bins,YES,NO,,ORIGINAL,1980.0,HOT WATER,NO,YES,NO,NO,YES,24 HRS,BASEMENT,YES,0.0,0.0,0.0,2.0,NO,YES,"Ground Level Garage , Surface Parking",M3B,DANGEROUS BREED RESTRICTION,YES,,PRIVATE,IN FRONT OF DRIVEWAY,4156613.0,NO,YES,NO,8  WINGREEN CRT ,NO,,,,UNAVAILABLE,16,DOUBLE PANE,1965.0,,2017.0,,,,,,,,
90691,NONE,,YES,YES,YES,YES,YES,Not Available,6.0,60.0,"FEB 1, 2017",,,,INTERIOR AND CONTROLS,REPLACED,,NO,Recycling bins,YES,YES,,REPLACED,1998.0,HOT WATER,NO,YES,NO,NO,YES,24/7,GROUND FLOOR,YES,60.0,0.0,1.0,8.0,NO,YES,"Ground Level Garage , Surface Parking",M2R,,YES,,PRIVATE,OUTSIDE,4156621.0,NO,YES,NO,4900  BATHURST ST ,YES,YES,1962.0,NO,FREE,6,DOUBLE PANE,1962.0,2017.0,2017.0,,,,,,,,
90692,NONE,,YES,YES,YES,YES,NO,Not Available,3.0,11.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,2000.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,YES,0.0,0.0,0.0,2.0,NO,YES,"Carport , Surface Parking",M3B,DANGEROUS BREED RESTRICTIONS,YES,TRIVEST DEV. CORPORATION,PRIVATE,FRONT DRIVEWAY ,4156634.0,NO,YES,NO,9  WINGREEN CRT ,NO,,,,FREE,16,DOUBLE PANE,1965.0,,2017.0,,,,,,,,
90693,NONE,,YES,YES,YES,YES,NO,0 indoor parking spots and 8 outdoor parking spots,4.0,86.0,"DEC 15, 2016",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,NO,WEST SIDE OF THE BUIDLING,REPLACED,2009.0,HOT WATER,YES,YES,NO,YES,YES,9AM - 10:30PM,BASEMENT ,YES,0.0,0.0,1.0,8.0,NO,YES,Underground Garage,M4P,,YES,,PRIVATE,WEST SIDE OF THE BUILDING,4153840.0,NO,YES,NO,124  BROADWAY AVE ,YES,YES,1956.0,YES,UNAVAILABLE,15,DOUBLE PANE,1956.0,,2017.0,,,,,,,,
90694,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,50.0,,,,,,,YES,NO,Recycling bins,YES,NO,,REPLACED,2014.0,HOT WATER,NO,YES,NO,NO,YES,24/7,FIRST FLOOR,YES,0.0,0.0,0.0,8.0,YES,YES,"Ground Level Garage , Surface Parking",M4K,,YES,AKELIUS CANADA LTD,PRIVATE,OUTSIDE NEAR GARBAGE AREA,4154110.0,NO,YES,NO,12  BATER AVE ,YES,YES,1957.0,,UNAVAILABLE,14,DOUBLE PANE,1927.0,,2018.0,,,,,,,,
90695,NONE,,YES,YES,YES,YES,NO,15 indoor parking spots and 0 outdoor parking spots,10.0,73.0,"MAY 16, 2017",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,FRONT DRIVEWAY,REPLACED,2004.0,HOT WATER,NO,YES,NO,NO,YES,8:00 AM - 10:00 PM,GROUND FLOOR,YES,0.0,67.0,2.0,8.0,NO,YES,Underground Garage,M4K,,YES,,PRIVATE,FRONT DRIVEWAY,4154115.0,NO,NO,NO,101  COSBURN AVE ,YES,YES,1960.0,YES,UNAVAILABLE,14,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
90696,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,28.0,,,,,,,YES,NO,Recycling bins,YES,NO,,REPLACED,2015.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,BASEMENT LEVEL,YES,0.0,0.0,0.0,4.0,NO,YES,Surface Parking,M3H,,NO,WESTDALE PROPERTIES,PRIVATE,EXTERIOR OF BUILDING,4154594.0,NO,YES,NO,3886  BATHURST ST ,NO,,,,PAID,6,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
90697,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,11.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,BACK OF BUILDING,REPLACED,2007.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,BASEMENT,YES,0.0,11.0,0.0,2.0,YES,YES,"Ground Level Garage , Surface Parking",M3H,NO PETS,NO,,PRIVATE,BACK OF BUILDING,4154599.0,NO,YES,NO,8  ROSSEAU RD ,NO,,,,UNAVAILABLE,6,DOUBLE PANE,1957.0,,2017.0,,,,,,,,
90698,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,29.0,,,,,,,,NO,Unknown,YES,NO,,ORIGINAL,1960.0,HOT WATER,NO,YES,NO,NO,YES,8 AM - 10 PM,BASEMENT,YES,0.0,0.0,0.0,4.0,YES,YES,"Ground Level Garage , Surface Parking",M3H,,YES,,PRIVATE,,4154600.0,NO,YES,NO,3908  BATHURST ST ,YES,YES,1960.0,,UNAVAILABLE,6,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
90699,NONE,,YES,YES,YES,YES,YES,Not Available,6.0,50.0,"SEP 25, 2017",,,,,ORIGINAL,,NO,Recycling bins,YES,NO,,REPLACED,2000.0,HOT WATER,NO,YES,NO,NO,YES,6AM-10:30PM,BASEMENT,YES,50.0,0.0,1.0,8.0,NO,YES,"Underground Garage , Surface Parking",M3H,,YES,,PRIVATE,OUTSIDE,4154610.0,NO,YES,NO,4340  BATHURST ST ,YES,YES,1960.0,YES,FREE,6,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
90700,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,12.0,,,,,,,,NO,Green Bin / Organics,YES,NO,REAR OF PARKING LOT,REPLACED,2014.0,HOT WATER,NO,NO,NO,NO,YES,,GROUND FLOOR,NO,0.0,10.0,0.0,4.0,NO,YES,Surface Parking,M6M,,YES,KNRS PROPERTIES INC.,PRIVATE,REAR OF PARKING LOT,4155104.0,NO,NO,NO,96  TRETHEWEY DR ,NO,,,,UNAVAILABLE,5,DOUBLE PANE,1956.0,,2017.0,,,,,,,,
90701,CENTRAL AIR,Indoor recreation room,YES,YES,YES,YES,YES,20 indoor parking spots and 0 outdoor parking spots,10.0,174.0,"AUG 15, 2016",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE BY GARBAGE AREA,REPLACED,2010.0,HOT WATER,NO,YES,NO,YES,YES,8-10,GROUND FLOOR,YES,5.0,1.0,2.0,18.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M6M,,YES,DMS PROPERTY MANAGEMENT LTD.,SOCIAL HOUSING,OUTSIDE BY GARBAGE AREA,4155121.0,NO,NO,NO,15  OXFORD DR ,YES,YES,1982.0,NO,FREE,5,SINGLE PANE,1982.0,2012.0,2017.0,,,,,,,,
90702,INDIVIDUAL UNITS,"Indoor recreation room , Indoor exercise room , Child play area",YES,YES,YES,NO,YES,4 indoor parking spots and 4 outdoor parking spots,9.0,125.0,"AUG 9, 2019",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,P1 RECYCLING ROOM ,REPLACED,2008.0,ELECTRIC,YES,YES,YES,YES,YES,8:00 AM - 9:00 PM,MAIN FLOOR,NO,20.0,3.0,2.0,16.0,NO,NO,"Underground Garage , Garage accessible thru buildg",M6M,,YES,,SOCIAL HOUSING,P1 RECYCLING ROOM ,4155127.0,NO,NO,NO,200  DORA SPENCER RD ,YES,YES,1992.0,YES,PAID,5,DOUBLE PANE,1992.0,,2017.0,,,,,,,,
90703,NONE,,YES,YES,YES,YES,YES,Not Available,12.0,164.0,"JUL 25, 2017",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1970.0,HOT WATER,YES,YES,NO,YES,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,4.0,4.0,2.0,16.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3N,,YES,TCH,TCHC,BACK OF BUILDING,4155620.0,NO,NO,NO,4400  JANE ST ,YES,YES,1970.0,YES,PAID,7,SINGLE PANE,1970.0,2017.0,2017.0,,,,,,,,
90704,NONE,,YES,YES,YES,NO,YES,Not Available,3.0,31.0,,,,,,,,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1957.0,HOT WATER,YES,YES,NO,NO,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,1.0,3.0,0.0,6.0,YES,YES,Surface Parking,M6A,,YES,TCH,TCHC,BACK OF BUILDING,4155626.0,NO,NO,NO,5  LEILA LANE ,YES,YES,1970.0,,PAID,8,DOUBLE PANE,1957.0,,2017.0,,,,,,,,
90705,NONE,,YES,YES,YES,NO,YES,Not Available,3.0,31.0,,,,,,,,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1957.0,HOT WATER,NO,YES,NO,NO,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,1.0,3.0,0.0,6.0,YES,YES,Surface Parking,M6A,,YES,TCH,TCHC,BACK OF BUILDING,4155628.0,NO,NO,NO,1  LEILA LANE ,YES,YES,1970.0,,PAID,8,DOUBLE PANE,1957.0,,2017.0,,,,,,,,
90706,NONE,,YES,YES,YES,YES,YES,Not Available,4.0,30.0,,,,,,,,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1957.0,HOT WATER,NO,YES,NO,NO,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,1.0,1.0,0.0,6.0,YES,YES,Surface Parking,M6A,,YES,TCH,TCHC,BACK OF BUILDING,4155641.0,NO,NO,NO,51  BLOSSOMFIELD DR ,YES,YES,1970.0,,PAID,8,DOUBLE PANE,1957.0,,2017.0,,,,,,,,
90707,NONE,,YES,YES,YES,YES,YES,Not Available,4.0,30.0,,,,,,,,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1957.0,HOT WATER,NO,YES,NO,NO,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,1.0,2.0,0.0,6.0,YES,YES,,M6A,,YES,TCH,TCHC,BACK OF BUILDING,4155643.0,NO,NO,NO,9  FLEMINGTON RD ,YES,YES,1970.0,,PAID,8,DOUBLE PANE,1957.0,,2017.0,,,,,,,,
90708,CENTRAL AIR,,YES,YES,YES,YES,YES,Not Available,9.0,184.0,"FEB 2, 2017",,,,,ORIGINAL,NO,NO,Recycling bins,YES,YES,,ORIGINAL,1972.0,HOT WATER,YES,YES,NO,YES,YES,7AM - 11PM,MAIN FLOOR,YES,2.0,4.0,2.0,18.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6M,,YES,MEDALLION CORPORATION,PRIVATE,OUTDOORS,4156723.0,NO,YES,NO,5  HARDING AVE ,YES,YES,1972.0,YES,FREE,5,DOUBLE PANE,2008.0,,2017.0,,,,,,,,
90709,NONE,,YES,YES,YES,YES,YES,Not Available,4.0,48.0,,,,,,,YES,YES,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1974.0,HOT WATER,NO,YES,NO,YES,YES,7:00 AM- 10:00 PM ,BASEMENT,NO,1.0,5.0,0.0,6.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6A,,NO,TCH,TCHC,BACK OF BUILDING,4156735.0,NO,NO,NO,155  NEPTUNE DR ,YES,YES,1974.0,,PAID,8,SINGLE PANE,1974.0,,2017.0,,,,,,,,
90710,INDIVIDUAL UNITS,Indoor exercise room,YES,YES,YES,YES,YES,64 indoor parking spots and 4 outdoor parking spots,11.0,88.0,"AUG 11, 2017",,GYM,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE,REPLACED,2013.0,HOT WATER,NO,YES,YES,YES,YES,24HRS,GROUND FLOOR,YES,0.0,1.0,2.0,12.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M4K,LEASHED,YES,,PRIVATE,OUTSIDE,4154118.0,NO,YES,NO,80  GOWAN AVE ,YES,YES,2013.0,YES,FREE,14,DOUBLE PANE,1968.0,2017.0,2017.0,,,,,,,,
90711,,,,,,,, indoor parking spots and  outdoor parking spots,3.0,27.0,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,0.0,,,,,M4K,,,,PRIVATE,,4154133.0,,,,15  GAMBLE AVE ,,,,,,14,DOUBLE PANE,1958.0,,2019.0,,,,,,,,
90712,NONE,"Indoor pool , Sauna",YES,YES,YES,YES,YES,Not Available,12.0,152.0,"OCT 19, 2016",,,,MACHINES,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,1965.0,HOT WATER,NO,YES,NO,YES,YES,8AM - 10PM,MAIN FLOOR,NO,152.0,15.0,2.0,16.0,NO,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4K,,YES,NOVI PROPERTIES,PRIVATE,OUTSIDE THE BUILDING,4154134.0,NO,YES,NO,100  GAMBLE AVE ,YES,YES,1965.0,YES,FREE,14,DOUBLE PANE,1965.0,2012.0,2017.0,,,,,,,,
90713,NONE,Child play area,YES,YES,YES,YES,NO,0 indoor parking spots and 30 outdoor parking spots,12.0,212.0,"JUN 9, 2017",BACK OF THE BUILDING,,,"MOTOR, CABS",REPLACED,,YES,Green Bin / Organics,YES,YES,OUTSIDE,ORIGINAL,1964.0,HOT WATER,NO,YES,NO,NO,YES,8-10,BASEMENT,YES,0.0,3.0,2.0,12.0,NO,YES,"Underground Garage , Garage accessible thru buildg",M4K,,YES,RANEE MANAGEMENT,PRIVATE,OUTSIDE,4154135.0,NO,YES,NO,72  GAMBLE AVE ,YES,YES,1964.0,NO,BOTH,14,DOUBLE PANE,1964.0,2008.0,2017.0,,,,,,,,
90714,NONE,,YES,YES,YES,YES,YES,Not Available,12.0,117.0,"JUL 17, 2017",,,,UPGRADED ELEVATOR TO STANDARDS,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,2011.0,HOT WATER,YES,YES,NO,YES,YES,8AM-9PM,GROUND FLOOR,NO,117.0,95.0,2.0,12.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Carport , Surface Parking",M2R,NONE,YES,EMBEE PROPERTIES LIMITED,PRIVATE,REAR OF BUILDING,4154626.0,NO,NO,NO,15  ROCKFORD RD ,YES,YES,1965.0,YES,FREE,6,DOUBLE PANE,1965.0,2001.0,2017.0,,,,,,,,
90715,CENTRAL AIR,Outdoor pool,YES,YES,YES,YES,YES,Not Available,9.0,244.0,"JUL 1, 2017",,,,"MOTORS, INTERIORS, ETC",REPLACED,YES,NO,Green Bin / Organics,YES,YES,"OUTSIDE BACK DOOR, FLOOR 1",REPLACED,2015.0,HOT WATER,NO,YES,NO,YES,YES,24 HOURS,FIRST FLOOR,YES,0.0,2.0,3.0,26.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M2R,,NO,,PRIVATE,"OUTSIDE BACK DOOR, FLOOR 1",4154640.0,NO,YES,NO,605  FINCH AVE W,YES,YES,1967.0,YES,FREE,6,DOUBLE PANE,1967.0,2011.0,2017.0,,,,,,,,
90716,NONE,Indoor exercise room,YES,YES,YES,YES,YES,30 indoor parking spots and 0 outdoor parking spots,15.0,172.0,"NOV 1, 2016",,EXERCISE EQUIPMENT,,,ORIGINAL,YES,NO,Recycling bins,YES,YES,,REPLACED,2016.0,HOT WATER,YES,YES,NO,YES,YES,8AM TO 10PM,BASEMENT,NO,2.0,6.0,3.0,20.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M2R,,YES,Q RESIDENTIAL,PRIVATE,BACK BY GARBAGE BINS,4154643.0,NO,YES,NO,3  GOLDFINCH CRT ,YES,YES,1964.0,YES,FREE,6,SINGLE PANE,1964.0,,2017.0,,,,,,,,
90717,NONE,,YES,YES,YES,YES,YES,0 indoor parking spots and 5 outdoor parking spots,5.0,60.0,"SEP 27, 2017",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,NO,BACK OF,REPLACED,1960.0,HOT WATER,NO,YES,NO,NO,YES,24HRS,BASEMENT,NO,0.0,10.0,1.0,6.0,YES,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M6B,,NO,FIRM CAPITAL PROPERTIES INC,PRIVATE,BACK OF BUILDING,4154654.0,NO,YES,NO,2895  BATHURST ST ,YES,YES,1960.0,YES,FREE,8,SINGLE PANE,1960.0,,2017.0,,,,,,,,
90718,NONE,,YES,NO,YES,YES,NO,Not Available,3.0,19.0,,,,,,,,NO,Green Bin / Organics,YES,NO,INDOOR GARAGE AREA,REPLACED,2015.0,HOT WATER,YES,YES,NO,NO,YES,24/7,BASEMENT,NO,0.0,0.0,0.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M9W,NONE.,YES,FALCOSTA INVESTMENTS,PRIVATE,INDOOR GARAGE AREA,4155436.0,NO,YES,NO,15  TORBOLTON DR ,NO,,,,FREE,1,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
90719,NONE,,YES,YES,YES,YES,NO,0 indoor parking spots and 20 outdoor parking spots,13.0,153.0,"JAN 7, 2017",,,,,REPLACED,YES,YES,Recycling bins,YES,YES,,REPLACED,2012.0,HOT WATER,YES,YES,NO,YES,YES,8:00 AM TO 10:00 PM ,GROUND LEVEL,NO,0.0,0.0,2.0,10.0,YES,YES,"Underground Garage , Ground Level Garage , Surface Parking",M9V,,NO,,PRIVATE,SCREENED OUTDOOR AREA,4155447.0,NO,NO,NO,2435  KIPLING AVE ,YES,YES,1965.0,YES,FREE,1,DOUBLE PANE,1965.0,2001.0,2018.0,,,,,,,,
90720,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,14.0,,,,,,,,NO,Recycling bins,YES,NO,,REPLACED,2018.0,HOT WATER,NO,NO,NO,NO,YES,1000 AM-1000 PM,BASEMENT,NO,0.0,0.0,0.0,2.0,NO,YES,,M1N,,YES,1034523 ONTARIO LTD,PRIVATE,DRIVEWAY,4156236.0,NO,YES,NO,1475  KINGSTON RD ,YES,YES,2000.0,,PAID,20,DOUBLE PANE,1940.0,,2017.0,,,,,,,,
90721,NONE,,YES,YES,YES,YES,YES,Not Available,6.0,60.0,"JUL 31, 2017",,,,FULL REPLACEMENT - MCE,REPLACED,,NO,Green Bin / Organics,YES,YES,COMPACTOR ROOM,ORIGINAL,1969.0,HOT WATER,NO,YES,NO,NO,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,YES,2.0,4.0,1.0,11.0,YES,YES,Surface Parking,M4L,,YES,TCH,TCHC,BACK OF BUILDING,4156243.0,NO,NO,NO,1575  QUEEN ST E,YES,YES,1969.0,YES,PAID,14,DOUBLE PANE,1969.0,2000.0,2017.0,,,,,,,,
90722,INDIVIDUAL UNITS,,YES,YES,YES,YES,NO,Not Available,29.0,277.0,"MAR 1, 2017",,,,"MOTOR, MACHINES, CONTROLERS",REPLACED,YES,NO,Green Bin / Organics,YES,YES,P1 LEVEL PARKING,REPLACED,1999.0,ELECTRIC,YES,YES,NO,YES,YES,7AM-11PM,P1 LEVEL,YES,0.0,8.0,4.0,34.0,NO,NO,"Underground Garage , Garage accessible thru buildg",M2N,,YES,TANDEM PROPERTY MANAGEMENT INC,PRIVATE,P1 LEVEL GARBAGE ROOM,4156258.0,NO,YES,NO,4  FOREST LANEWAY  ,YES,YES,1975.0,NO,PAID,18,DOUBLE PANE,1975.0,2017.0,2017.0,,,,,,,,
90723,NONE,,YES,YES,YES,YES,YES,Not Available,15.0,164.0,"JAN 2, 2016",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,BEHIND THE BUILDING,REPLACED,2013.0,HOT WATER,NO,YES,NO,NO,YES,8 AM TO 10 PM,BASEMENT,NO,0.0,0.0,2.0,14.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1G,,NO,,PRIVATE,BEHIND THE BUILDING,4152830.0,NO,YES,NO,3950  LAWRENCE AVE E,YES,YES,1967.0,NO,PAID,24,SINGLE PANE,1967.0,,2017.0,,,,,,,,
